VenueName,PostalCode,Latitude,Longitude,SportsFacility
SKYLINE RESIDENCES,109030,1.272,103.808,Fitness Corner
SKYLINE RESIDENCES,109030,1.272,103.808,Gymnasium
SKYLINE RESIDENCES,109030,1.272,103.808,Swimming Pool
SKYLINE RESIDENCES,109030,1.272,103.808,Swimming Pool
SKYLINE RESIDENCES,109030,1.272,103.808,Tennis Court
Harbour View Towers,109258,1.272,103.809,Cue Sports Table
Harbour View Towers,109258,1.272,103.809,Fitness Corner
Harbour View Towers,109258,1.272,103.809,Gymnasium
Harbour View Towers,109258,1.272,103.809,Swimming Pool
Harbour View Towers,109258,1.272,103.809,Swimming Pool
Harbour View Towers,109258,1.272,103.809,Table Tennis Court
Harbour View Towers,109258,1.272,103.809,Tennis Court
Harbour View Towers,109258,1.272,103.809,Volleyball Court
THE INTERLACE,109684,1.282,103.803,Basketball Court
THE INTERLACE,109684,1.282,103.803,Fitness Corner
THE INTERLACE,109684,1.282,103.803,Golf
THE INTERLACE,109684,1.282,103.803,Jogging Track
THE INTERLACE,109684,1.282,103.803,Swimming Pool
THE INTERLACE,109684,1.282,103.803,Swimming Pool
THE INTERLACE,109684,1.282,103.803,Tennis Court
THE VERANDAH RESIDENCES,117341,1.28,103.785,Gymnasium
THE VERANDAH RESIDENCES,117341,1.28,103.785,Studio
THE VERANDAH RESIDENCES,117341,1.28,103.785,Swimming Pool
THE VERANDAH RESIDENCES,117341,1.28,103.785,Swimming Pool
Whitehaven,117395,1.289,103.777,Fitness Corner
Whitehaven,117395,1.289,103.777,Gymnasium
Whitehaven,117395,1.289,103.777,Swimming Pool
Whitehaven,117395,1.289,103.777,Swimming Pool
West-N,117452,1.282,103.783,Swimming Pool
The Estiva,117482,1.288,103.778,Gymnasium
The Estiva,117482,1.288,103.778,Swimming Pool
The Estiva,117482,1.288,103.778,Swimming Pool
The Maylea,117489,1.281,103.785,Fitness Corner
The Maylea,117489,1.281,103.785,Gymnasium
The Maylea,117489,1.281,103.785,Squash Court
The Maylea,117489,1.281,103.785,Swimming Pool
The Maylea,117489,1.281,103.785,Swimming Pool
The Maylea,117489,1.281,103.785,Swimming Pool
The Spectrum,117504,1.292,103.769,Gymnasium
The Spectrum,117504,1.292,103.769,Swimming Pool
The Spectrum,117504,1.292,103.769,Swimming Pool
The Spectrum,117504,1.292,103.769,Swimming Pool
Palm Green,117621,1.275,103.797,Swimming Pool
Palm Green,117621,1.275,103.797,Swimming Pool
Redwood West,117629,1.279,103.785,Gymnasium
Redwood West,117629,1.279,103.785,Swimming Pool
Redwood West,117629,1.279,103.785,Swimming Pool
Redwood West,117629,1.279,103.785,Swimming Pool
Buona Lodge,117686,1.282,103.787,Squash Court
Buona Lodge,117686,1.282,103.787,Swimming Pool
Buona Vista Gardens,117687,1.283,103.786,Swimming Pool
The Village Centre,118136,1.28,103.786,Gymnasium
The Village Centre,118136,1.28,103.786,Swimming Pool
Bayville Condominium,118166,1.281,103.788,Gymnasium
KENT RIDGE HILL RESIDENCES,118173,1.281,103.79,Fitness Corner
KENT RIDGE HILL RESIDENCES,118173,1.281,103.79,Gymnasium
KENT RIDGE HILL RESIDENCES,118173,1.281,103.79,Studio
KENT RIDGE HILL RESIDENCES,118173,1.281,103.79,Swimming Pool
KENT RIDGE HILL RESIDENCES,118173,1.281,103.79,Swimming Pool
KENT RIDGE HILL RESIDENCES,118173,1.281,103.79,Tennis Court
Westpoint Condominium,118442,1.277,103.793,Gymnasium
Westpoint Condominium,118442,1.277,103.793,Gymnasium
Westpoint Condominium,118442,1.277,103.793,Swimming Pool
Westpoint Condominium,118442,1.277,103.793,Tennis Court
Pepy's Hill,118450,1.277,103.794,Badminton Court
Pepy's Hill,118450,1.277,103.794,Gymnasium
Pepy's Hill,118450,1.277,103.794,Squash Court
Pepy's Hill,118450,1.277,103.794,Swimming Pool
Pepy's Hill,118450,1.277,103.794,Swimming Pool
Pepy's Hill,118450,1.277,103.794,Table Tennis Court
Pepy's Hill,118450,1.277,103.794,Tennis Court
The Peak,118456,1.28,103.793,Swimming Pool
The Cassandra,118549,1.276,103.793,Swimming Pool
Pasir View Park,118571,1.279,103.787,Gymnasium
Pasir View Park,118571,1.279,103.787,Swimming Pool
Pasir View Park,118571,1.279,103.787,Swimming Pool
Pasir View Park,118571,1.279,103.787,Tennis Court
Landridge Condominium,118573,1.279,103.787,Gymnasium
Landridge Condominium,118573,1.279,103.787,Swimming Pool
ICON @ PASIR PANJANG,118579,1.279,103.786,Gymnasium
Harbour View Gardens,118582,1.279,103.785,Golf
Harbour View Gardens,118582,1.279,103.785,Gymnasium
Harbour View Gardens,118582,1.279,103.785,Studio
Harbour View Gardens,118582,1.279,103.785,Swimming Pool
Harbour View Gardens,118582,1.279,103.785,Swimming Pool
24 ONE RESIDENCES,118599,1.28,103.785,Gymnasium
24 ONE RESIDENCES,118599,1.28,103.785,Swimming Pool
THE ORIENT,118610,1.281,103.784,Gymnasium
THE ORIENT,118610,1.281,103.784,Swimming Pool
THE ORIENT,118610,1.281,103.784,Swimming Pool
SEA SUITES,118617,1.282,103.783,Gymnasium
SEA SUITES,118617,1.282,103.783,Swimming Pool
Palisades,118635,1.287,103.78,Squash Court
Palisades,118635,1.287,103.78,Swimming Pool
Parc Regency,118652,1.288,103.778,Swimming Pool
Royal Palm Mansions,118655,1.29,103.778,Swimming Pool
Palm Mansions,118684,1.289,103.776,Fitness Corner
Palm Mansions,118684,1.289,103.776,Gymnasium
Palm Mansions,118684,1.289,103.776,Swimming Pool
Palm Mansions,118684,1.289,103.776,Swimming Pool
Murano,118691,1.289,103.776,Gymnasium
Murano,118691,1.289,103.776,Swimming Pool
JUBILEE RESIDENCE,118695,1.289,103.775,Gymnasium
JUBILEE RESIDENCE,118695,1.289,103.775,Swimming Pool
Gold Coast Condominium,118702,1.29,103.775,Gymnasium
Gold Coast Condominium,118702,1.29,103.775,Swimming Pool
Gold Coast Condominium,118702,1.29,103.775,Swimming Pool
The Foliage,118707,1.291,103.774,Fitness Corner
The Foliage,118707,1.291,103.774,Gymnasium
The Foliage,118707,1.291,103.774,Swimming Pool
The Foliage,118707,1.291,103.774,Swimming Pool
The Foliage,118707,1.291,103.774,Swimming Pool
Villa De West,118719,1.291,103.772,Gymnasium
Villa De West,118719,1.291,103.772,Squash Court
Villa De West,118719,1.291,103.772,Swimming Pool
Villa De West,118719,1.291,103.772,Swimming Pool
Villa De West,118719,1.291,103.772,Table Tennis Court
Villa De West,118719,1.291,103.772,Tennis Court
The Village,118758,1.291,103.771,Swimming Pool
The Village,118758,1.291,103.771,Tennis Court
D'hillside Loft,118853,1.281,103.785,Swimming Pool
The Grandhill,118860,1.282,103.785,Fitness Corner
The Grandhill,118860,1.282,103.785,Gymnasium
The Grandhill,118860,1.282,103.785,Swimming Pool
The Grandhill,118860,1.282,103.785,Swimming Pool
The Grandhill,118860,1.282,103.785,Swimming Pool
HORIZON RESIDENCES,118862,1.282,103.784,Gymnasium
HORIZON RESIDENCES,118862,1.282,103.784,Swimming Pool
HORIZON RESIDENCES,118862,1.282,103.784,Swimming Pool
Kentview Park,118892,1.282,103.786,Gymnasium
Kentview Park,118892,1.282,103.786,Swimming Pool
Kentview Park,118892,1.282,103.786,Swimming Pool
Kentview Park,118892,1.282,103.786,Table Tennis Court
Ventana,118893,1.283,103.785,Cue Sports Table
Ventana,118893,1.283,103.785,Gymnasium
Ventana,118893,1.283,103.785,Swimming Pool
Ventana,118893,1.283,103.785,Swimming Pool
Ventana,118893,1.283,103.785,Swimming Pool
Le Hill Condominium,118894,1.283,103.785,Swimming Pool
Sarhad Ville,119163,1.281,103.789,Swimming Pool
Sarhad Ville,119163,1.281,103.789,Swimming Pool
Treasure Place,119174,1.28,103.789,Gymnasium
Treasure Place,119174,1.28,103.789,Swimming Pool
Island View,119519,1.279,103.792,Gymnasium
Island View,119519,1.279,103.792,Studio
Island View,119519,1.279,103.792,Studio
Island View,119519,1.279,103.792,Gymnasium
Island View,119519,1.279,103.792,Studio
Island View,119519,1.279,103.792,Studio
Island View,119519,1.279,103.792,Swimming Pool
Island View,119519,1.279,103.792,Swimming Pool
Island View,119519,1.279,103.792,Tennis Court
Banyan Condominium,119745,1.278,103.788,Gymnasium
Banyan Condominium,119745,1.278,103.788,Swimming Pool
Banyan Condominium,119745,1.278,103.788,Swimming Pool
Banyan Condominium,119745,1.278,103.788,Tennis Court
